prompt,summary,action,method,relation,clazz,subject,node,property
Show actors, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by class, relation:'', class: Actor, subject:'', node: '', property:''
Actors who appeared in Brief Encounter, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by relation, relation: APPEARED_IN, class:'', subject: Brief Encounter, node: '', property:''
Actors who appeared in Casablanca, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by relation, relation: APPEARED_IN, class:'', subject: Casablanca, node: '', property:''
Directors who directed Breathless, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by relation, relation: DIRECTED_BY, class:'', subject: Breathless, node: '', property:''
Show me all female director, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by property, relation: '', class: Director, subject:'', node: '', property: 'gender: female'
Found all United Kindgom director, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by property, relation: '', class: Director, subject:'', node: '', property: "nationality: UK'
Display nodes with both actor and movie class, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by class, relation: '', classes: ACTOR MOVIE, subject:'', node: '', property:''
Select actors who appeared in In the Mood for Love, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: select, method: by relation, relation: APPEARED_IN, class: '', subject: In the Mood for Love, node: '', property: ''
Select directors who directed Bob Steele, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: select, method: by relations, relation: DIRECTED_BY, class: Director, subject: Bob Steele, node: '', property: ''
Nodes that are connected to Isabelle Huppert, The classes of the nodes are: Actor Movie Film Director Genre  The list of relationships are: APPEARED_IN DIRECTED_BY BELONGS_TO  The properties of the classes: Movie: label title released actors director box_office Director: label gender(male/female) movie_directed nationality(UK US JP TW) Genre: label  Actor nodes are: Isabelle Huppert Sacueline Bissse Sandrine Bonnaire Bob Steele... Movie nodes are: Brief Encounter Casablanca Before Sunrise Breathless In the Mood for Love... Director nodes are: David Lean Michael Curtiz Richard Linklater Jean-Luc Godard Kar Wai Wong... Genre nodes are: Romance Crime Sci-Fi Horror...    The actions to interact with the canvas are: load remove select unselect  The method to perform the actions are: by class by relation by property by node by selected  the above methods are strictly the only 5 methods. The instructions are a set of commands which can display or remove nodes and relationships on a canvas., action: load, method: by node, relation: '', class: '', subject: '', node: Isabelle Huppert, property: ''
